Clients,Farms,Fields,Machine Name,Equipment,Operators,Varieties,Work,Crop Type,Area Harvested,Unit,Moisture,Unit,Dry Yield,Unit,Total Dry Yield,Unit,Wet Weight,Unit,Total Wet Weight,Unit,Speed,Unit,Harvest Time,Unit,Productivity,Unit,Total Fuel,Unit,Fuel Rate (Area),Unit,Fuel Rate (Time),Unit,Throughput (Wet),Unit,Fuel Efficiency,Unit,Crude Protein,Unit,Metabolizable Energy,Unit,Dry Matter,Unit,Neutral Detergent Fiber,Unit,Acid Detergent Fiber,Unit,Length Of Cut,Unit,Inoculant Dosing High Rate,Unit,Sugar,Unit,Crude Ash,Unit,Crude Fiber,Unit,Crude Fat,Unit,First Harvested,Last Harvested
Mcdonald,kelloe mains,gas house,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,4TH CUT,"Forage Harvesting Grass Forage - Aug 25, 2022",Grass Forage,12.90982235,ha,62.6031543,%,1.475698161,t/ha,19.05100111,t,3.946049817,t/ha,50.94280213,t,13.87325011,km/hr,2848.739,sec,16.31357221,ha/hr,50.87705872,l,3.941148199,l/ha,64.29420575,l/hr,64.37381942,t/hr,0.374397769,t/l,15.4481912,%,9.988053064,MJ/kg,37.3968457,%,49.46039635,%,27.58841713,%,10.9982,mm,0,l/t,9.212097204,%,9.843353658,%,24.5412079,%,2.852337392,%,"Aug 25, 2022","Aug 25, 2022"
Mcdonald,kelloe mains,gas house,8400i - SK19 LFR (R Wood),1Z08400YEKU619149,Unknown Operator,5TH CUT,"Forage Harvesting Grass Forage - Oct 8, 2022",Grass Forage,13.00159938,ha,74.22855707,%,1.191851598,t/ha,15.495977,t,4.624698746,t/ha,60.12848035,t,11.2971631,km/hr,3566.123,sec,13.12511032,ha/hr,73.58402854,l,5.659613589,l/ha,74.2830527,l/hr,60.69968121,t/hr,0.210588864,t/l,16.15384889,%,---,---,25.77144293,%,44.84979388,%,23.32787871,%,16.9926,mm,0,l/t,14.26680985,%,8.13030848,%,18.1844274,%,---,---,"Oct 08, 2022","Oct 08, 2022"
Mcdonald,kelloe mains,gilzie bank,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,1ST Cut,"Forage Harvesting Grass Forage - May 12, 2022",Grass Forage,4.048396901,ha,65.80307941,%,6.35936569,t/ha,25.74523635,t,18.59631095,t/ha,75.28524762,t,10.6646658,km/hr,1502.729,sec,9.698507743,ha/hr,35.96369129,l,8.883440081,l/ha,86.15611241,l/hr,180.3564658,t/hr,0.715849585,t/l,14.04216796,%,10.21800739,MJ/kg,34.19692059,%,47.56297799,%,28.48330174,%,16.9926,mm,---,---,11.24696496,%,9.339095951,%,25.47367131,%,2.834880736,%,"May 12, 2022","May 12, 2022"
Mcdonald,kelloe mains,gilzie bank,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,2ND CUT,"Forage Harvesting Grass Forage - Jun 14, 2022",Grass Forage,4.264375774,ha,63.95705492,%,3.154367505,t/ha,13.45140837,t,8.751691901,t/ha,37.32050292,t,11.17743514,km/hr,1191.16,sec,12.88806943,ha/hr,25.2402144,l,5.918853248,l/ha,76.28259161,l/hr,112.7924129,t/hr,0.532935583,t/l,13.41141496,%,10.66535074,MJ/kg,36.04294508,%,43.81255567,%,24.37190069,%,15.9766,mm,---,---,15.09500155,%,9.002770315,%,23.24223936,%,2.813872081,%,"Jun 14, 2022","Jun 14, 2022"
Mcdonald,kelloe mains,gilzie bank,8400i - SK19 LFR (R Wood),1Z08400YEKU619149,Unknown Operator,3RD CUT,"Forage Harvesting Grass Forage - Jul 12, 2022",Grass Forage,4.355685323,ha,67.90958543,%,3.435935587,t/ha,14.96585421,t,10.70704643,t/ha,46.63652499,t,11.8660638,km/hr,1143.945,sec,13.70736107,ha/hr,27.33375197,l,6.275419353,l/ha,86.01943896,l/hr,146.7653515,t/hr,0.54750842,t/l,13.96702846,%,---,---,32.09041457,%,46.13766234,%,25.48705116,%,12.9794,mm,0,l/t,14.1300931,%,7.934585942,%,20.09406611,%,---,---,"Jul 12, 2022","Jul 12, 2022"
Mcdonald,kelloe mains,gilzie bank,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,4TH CUT,"Forage Harvesting Grass Forage - Aug 25, 2022",Grass Forage,4.33216915,ha,69.92659944,%,1.636675215,t/ha,7.090353875,t,5.442268531,t/ha,23.57682784,t,12.29675121,km/hr,1089.77,sec,14.31110137,ha/hr,20.67146997,l,4.771621157,l/ha,68.28715407,l/hr,77.88485663,t/hr,0.343001919,t/l,15.19843115,%,9.90184131,MJ/kg,30.07340056,%,50.49479631,%,28.23574322,%,14.5378644,mm,0,l/t,9.117232031,%,9.733115218,%,24.9835519,%,2.916316879,%,"Aug 25, 2022","Aug 25, 2022"
Mcdonald,kelloe mains,gilzie bank,8400i - SK19 LFR (R Wood),1Z08400YEKU619149,Unknown Operator,5TH CUT,"Forage Harvesting Grass Forage - Oct 8, 2022",Grass Forage,4.31608879,ha,67.71265043,%,1.011625161,t/ha,4.366264018,t,3.133193571,t/ha,13.52314165,t,12.17550492,km/hr,1095.185,sec,14.18748398,ha/hr,20.78332859,l,4.815315347,l/ha,68.31720935,l/hr,44.4521336,t/hr,0.210070284,t/l,15.51549016,%,---,---,32.28734957,%,43.62464498,%,22.02989741,%,16.9926,mm,0,l/t,15.44825813,%,7.801902998,%,17.80863676,%,---,---,"Oct 08, 2022","Oct 08, 2022"
Mcdonald,kelloe mains,island pasture,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,RYE,"Forage Harvesting Boot stage WCS - Jun 20, 2022",Boot stage WCS,4.453639302,ha,70.38004129,%,11.76328122,t/ha,52.38941157,t,39.71403653,t/ha,176.8719939,t,6.393006581,km/hr,4898.474,sec,3.273073187,ha/hr,134.5229624,l,30.20355942,l/ha,98.86398594,l/hr,129.9869094,t/hr,0.38941308,t/l,---,---,---,---,29.61995871,%,---,---,---,---,14.98576912,mm,0,l/t,---,---,---,---,---,---,---,---,"Jun 20, 2022","Jun 20, 2022"
Mcdonald,kelloe mains,Lodge,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,1ST Cut,"Forage Harvesting Grass Forage - May 12, 2022",Grass Forage,16.74442133,ha,61.82419251,%,6.52606106,t/ha,109.275116,t,17.09475579,t/ha,286.2417934,t,11.58695639,km/hr,5558.387,sec,10.84485783,ha/hr,138.8538427,l,8.292543529,l/ha,89.93145562,l/hr,185.3901961,t/hr,0.786979416,t/l,14.06573007,%,10.43282019,MJ/kg,38.17580749,%,46.18717366,%,27.75060313,%,16.9926,mm,---,---,12.84906525,%,9.083368929,%,24.83088588,%,2.845804709,%,"May 12, 2022","May 12, 2022"
Mcdonald,kelloe mains,Lodge,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,2ND CUT,"Forage Harvesting Grass Forage - Jun 14, 2022",Grass Forage,17.10506467,ha,72.92198658,%,3.22204434,t/ha,55.11327682,t,11.89911642,t/ha,203.5351559,t,11.77039881,km/hr,4297.896,sec,14.32752976,ha/hr,111.7398083,l,6.532556904,l/ha,93.59540343,l/hr,170.4849445,t/hr,0.493228668,t/l,12.54539121,%,10.4170381,MJ/kg,27.07801342,%,46.13354378,%,26.37531322,%,15.12084528,mm,---,---,12.68909516,%,9.279159652,%,25.21916356,%,2.603290905,%,"Jun 14, 2022","Jun 14, 2022"
